,,,,,
t,x,y,θ,ω,α
"3,633","47,14","13,91","-12,28","-3,341","0,116"
"3,666","48,25","8,546","-12,39","-3,354","-0,471"
"3,699","48,78","3,089","-12,5","-3,372","-1,326"
"3,733","48,72","-2,412","-12,62","-3,436","-1,566"
"3,766","47,98","-8,03","-12,73","-3,491","-0,552"
"3,799","46,63","-13,52","-12,85","-3,468","1,238"
"3,833","44,68","-18,73","-12,96","-3,408","1,806"
"3,866","42,25","-23,59","-13,08","-3,344","1,062"
"3,899","39,3","-28,05","-13,19","-3,333","0,649"
"3,933","35,86","-32,19","-13,3","-3,313","0,38"
"3,966","32,07","-35,83","-13,41","-3,293","0,401"
"3,999","27,91","-39,11","-13,52","-3,297","-0,245"
"4,033","23,41","-41,82","-13,63","-3,303","0,18"
"4,066","18,62","-44,09","-13,74","-3,295","5,22E-02"
"4,099","13,7","-45,81","-13,85","-3,287","-6,39E-02"
"4,133","8,575","-46,99","-13,96","-3,306","-8,05E-02"
"4,166","3,345","-47,59","-14,07","-3,294","0,399"
"4,199","-1,86","-47,62","-14,18","-3,276","0,521"
"4,233","-7,022","-47,05","-14,29","-3,262","0,364"
"4,266","-12,05","-45,93","-14,39","-3,249","0,469"
"4,299","-16,92","-44,31","-14,5","-3,233","-2,63E-02"
"4,333","-21,55","-42,21","-14,61","-3,244","-0,152"
"4,366","-25,98","-39,58","-14,72","-3,254","-0,138"
"4,399","-30,08","-36,53","-14,83","-3,246","0,266"
"4,433","-33,86","-33,07","-14,93","-3,241","0,242"
"4,466","-37,22","-29,24","-15,04","-3,227","0,272"
"4,499","-40,16","-25,09","-15,15","-3,223","0,603"
"4,533","-42,7","-20,68","-15,26","-3,191","1,392"
"4,566","-44,71","-16,1","-15,36","-3,126","1,751"
"4,599","-46,24","-11,45","-15,47","-3,072","1,304"
"4,633","-47,26","-6,705","-15,57","-3,041","8,80E-03"
"4,666","-47,81","-1,915","-15,67","-3,065","-1,365"
"4,699","-47,84","3,036","-15,77","-3,138","-1,574"
"4,733","-47,4","8,097","-15,88","-3,175","-0,399"
"4,766","-46,38","13,09","-15,98","-3,162","0,347"
"4,799","-44,84","17,91","-16,09","-3,148","0,252"
"4,833","-42,82","22,56","-16,19","-3,147","0,729"
"4,866","-40,33","26,99","-16,3","-3,105","1,157"
"4,899","-37,46","31,04","-16,4","-3,059","1,335"
"4,933","-34,22","34,79","-16,5","-3,025","0,351"
"4,966","-30,67","38,14","-16,6","-3,024","-9,40E-02"
"4,999","-26,71","41,17","-16,7","-3,045","-0,245"
"5,033","-22,49","43,81","-16,8","-3,035","-2,89E-02"
"5,066","-18,01","45,98","-16,91","-3,045","-0,505"
"5,099","-13,26","47,66","-17,01","-3,07","-0,318"
"5,133","-8,317","48,86","-17,11","-3,07","-0,172"
"5,166","-3,309","49,52","-17,21","-3,074","-0,111"
"5,199","1,805","49,7","-17,32","-3,085","-7,79E-02"
"5,233","6,898","49,33","-17,42","-3,076","0,505"
"5,266","11,91","48,41","-17,52","-3,053","0,224"
"5,299","16,76",47,"-17,62","-3,053","-0,559"
"5,333","21,49","45,08","-17,72","-3,095","-0,783"
"5,366","26,06","42,63","-17,83","-3,111","-0,275"
"5,399","30,32","39,7","-17,93","-3,107","-0,228"
"5,433","34,24","36,32","-18,03","-3,126","-0,107"
"5,466","37,85","32,55","-18,14","-3,121","0,712"
"5,499","40,95","28,43","-18,24","-3,075","1,075"
"5,533","43,57","24,1","-18,34","-3,045","0,369"
"5,566","45,68","19,52","-18,45","-3,051","2,11E-02"
"5,599","47,35","14,74","-18,55","-3,049","-0,172"
"5,633","48,47","9,859","-18,65","-3,055","-0,557"
"5,666","49,11","4,839","-18,75","-3,09","-1,226"
"5,699","49,26","-0,264","-18,85","-3,135","-0,945"
"5,733","48,83","-5,431","-18,96","-3,16","-0,197"
"5,766","47,86","-10,5","-19,07","-3,145","0,912"
"5,799","46,36","-15,39","-19,17","-3,101","1,14"
"5,833","44,45","-19,99","-19,27","-3,062","0,678"
"5,866","42,1","-24,36","-19,37","-3,058","0,346"
"5,899","39,25","-28,41","-19,48","-3,043","0,414"
"5,933","36,09","-32,13","-19,58","-3,025","0,242"
"5,966","32,59","-35,5","-19,68","-3,029","-0,252"
"5,999","28,78","-38,52","-19,78","-3,041","-0,613"
"6,033","24,65","-41,13","-19,88","-3,069","-0,324"
"6,066","20,25","-43,36","-19,98","-3,07","4,75E-02"
"6,099","15,71","-45,1","-20,09","-3,058","0,25"
"6,132","11,02","-46,4","-20,19","-3,058","0,208"
"6,166","6,235","-47,17","-20,29","-3,042","0,285"
"6,199","1,441","-47,48","-20,39","-3,037","0,496"
"6,232","-3,363","-47,29","-20,49","-3,016","0,75"
"6,266","-8,035","-46,62","-20,59","-2,981","0,657"
"6,299","-12,58","-45,53","-20,69","-2,972","0,355"
"6,332",-17,"-43,99","-20,79","-2,96","9,04E-02"
"6,366","-21,2","-42,04","-20,89","-2,96","-0,265"
"6,399","-25,24","-39,72","-20,99","-2,983","-0,522"
"6,432","-29,01","-36,93","-21,09","-2,996","-0,171"
"6,466","-32,54","-33,84","-21,19","-2,994","-0,149"
"6,499","-35,7","-30,4","-21,29","-3,002","0,209"
"6,532","-38,61","-26,69","-21,39","-2,988","0,211"
"6,566","-41,09","-22,78","-21,48","-2,976","0,45"
"6,599","-43,18","-18,59","-21,58","-2,969","0,725"
"6,632","-44,87","-14,29","-21,68","-2,923","1,236"
"6,666","-46,18","-9,925","-21,78","-2,885","1,027"
"6,699","-47,04","-5,48","-21,88","-2,856","0,666"
"6,732","-47,44","-1,01","-21,97","-2,838","0,511"
"6,766","-47,42","3,479","-22,06","-2,825","-0,406"
"6,799",-47,"7,925","-22,16","-2,857","-0,929"
"6,832","-46,14","12,46","-22,25","-2,901","-0,739"
"6,866","-44,87","16,91","-22,35","-2,901","0,109"
"6,899","-43,19","21,24","-22,45","-2,893","0,249"
"6,932","-41,08","25,37","-22,54","-2,883","0,547"
"6,966","-38,58","29,28","-22,64","-2,859","0,842"
"6,999","-35,78","32,92","-22,74","-2,825","0,555"
"7,032","-32,6","36,18","-22,83","-2,819","0,438"
"7,066","-29,16","39,24","-22,92","-2,804","0,818"
"7,099","-25,5","41,94","-23,02","-2,759","0,404"
"7,132","-21,63","44,2","-23,11","-2,771","-0,303"
"7,166","-17,47","46,18","-23,2","-2,793","-0,227"
"7,199","-13,16","47,73","-23,29","-2,779","0,242"
"7,232","-8,717","48,87","-23,39","-2,777","0,157"
"7,266","-4,17","49,58","-23,48","-2,77","3,01E-02"
"7,299","0,407","49,86","-23,57","-2,771","-0,21"
"7,332","5,027","49,7","-23,66","-2,787","2,96E-04"
"7,366","9,641","49,09","-23,76","-2,775","0,122"
"7,399","14,12","48,07","-23,85","-2,77","-7,93E-02"
"7,432","18,54","46,62","-23,94","-2,787","-0,256"
"7,466","22,8","44,73","-24,03","-2,785","-0,218"
"7,499","26,86","42,44","-24,13","-2,798","-0,282"
"7,532","30,72","39,75","-24,22","-2,81","-0,23"
"7,566","34,27","36,68","-24,31","-2,81","0,245"
"7,599","37,53","33,28","-24,41","-2,797","0,636"
"7,632","40,39","29,62","-24,5","-2,764","0,442"
"7,666","42,89","25,78","-24,59","-2,763","0,256"
"7,699","45,04","21,68","-24,68","-2,757","0,145"
"7,732","46,78","17,47","-24,78","-2,744","-0,321"
"7,766","48,11","13,09","-24,87","-2,78","-0,742"
"7,799",49,"8,521","-24,96","-2,801","-0,606"
"7,832","49,49","3,918","-25,05","-2,812","-0,477"
"7,866","49,53","-0,756","-25,15","-2,837","-0,348"
"7,899","49,1","-5,429","-25,24","-2,837","0,189"
"7,932","48,21","-9,992","-25,34","-2,822","1,029"
"7,966","46,93","-14,43","-25,43","-2,774","0,812"
"7,999","45,29","-18,58","-25,52","-2,753","0,344"
"8,032","43,27","-22,63","-25,61","-2,764","-2,67E-02"
"8,066","40,88","-26,4","-25,71","-2,75","0,316"
"8,099","38,2","-29,95","-25,8","-2,744","-9,98E-02"
"8,132","35,22","-33,24","-25,89","-2,755","-0,678"
"8,166","31,91","-36,22","-25,98","-2,79","-0,856"
"8,199","28,29","-38,93","-26,08","-2,816","-3,79E-02"
"8,232","24,46","-41,32","-26,17","-2,794","0,279"
"8,266","20,51","-43,32","-26,26","-2,787","0,22"
"8,299","16,32","-44,9","-26,35","-2,791","6,59E-02"
"8,332","12,09","-46,17","-26,45","-2,775","0,269"
"8,366","7,759","-46,98","-26,54","-2,775","0,368"
"8,399","3,381","-47,4","-26,63","-2,754","0,506"
"8,432","-0,942","-47,38","-26,72","-2,734","0,541"
"8,466","-5,242","-46,99","-26,81","-2,723","0,544"
"8,499","-9,444","-46,26","-26,9","-2,696","0,573"
"8,532","-13,51","-45,15","-26,99","-2,683","0,365"
"8,565","-17,46","-43,7","-27,08","-2,675","0,151"
"8,599","-21,26","-41,94","-27,17","-2,67","1,82E-02"
"8,632","-24,88","-39,84","-27,26","-2,676","-0,206"
"8,665","-28,26","-37,37","-27,35","-2,683","-0,315"
"8,699","-31,48","-34,68","-27,44","-2,697","7,71E-02"
"8,732","-34,42","-31,66","-27,53","-2,683","3,00E-02"
"8,765","-37,1","-28,49","-27,62","-2,684","-0,284"
"8,799","-39,52","-25,03","-27,71","-2,711","-0,35"
"8,832","-41,62","-21,36","-27,8","-2,706","0,141"
"8,865","-43,45","-17,57","-27,89","-2,698","0,561"
"8,899","-44,89","-13,61","-27,98","-2,674","0,747"
"8,932",-46,"-9,615","-28,07","-2,642","0,87"
"8,965","-46,78","-5,555","-28,16","-2,62","0,702"
"8,999","-47,19","-1,483","-28,24","-2,593","0,719"
"9,032","-47,24","2,585","-28,33","-2,573","0,637"
"9,065","-46,95","6,62","-28,41","-2,551","4,31E-02"
"9,099","-46,32","10,59","-28,5","-2,565","-0,797"
"9,132","-45,35","14,58","-28,59","-2,61","-0,691"
"9,165","-44,02","18,54","-28,67","-2,615","-0,211"
"9,199","-42,38","22,35","-28,76","-2,615","0,126"
"9,232","-40,36","26,04","-28,85","-2,615","0,272"
"9,265","-38,07","29,53","-28,93","-2,592","0,452"
"9,299","-35,48","32,77","-29,02","-2,584","0,207"
"9,332","-32,64","35,82","-29,11","-2,58","0,45"
"9,365","-29,55","38,63","-29,19","-2,555","0,836"
"9,399","-26,24","41,07","-29,28","-2,522","0,56"
"9,432","-22,78","43,24","-29,36","-2,516","0,129"
"9,465","-19,12","45,11","-29,44","-2,518","-5,54E-02"
"9,499","-15,32","46,69","-29,53","-2,516","0,244"
"9,532","-11,38","47,94","-29,61","-2,505","0,258"
"9,565","-7,385","48,83","-29,7","-2,494","2,59E-02"
"9,599","-3,311","49,44","-29,78","-2,506","-0,333"
"9,632","0,839","49,66","-29,86","-2,518","0,206"
"9,665","5,018","49,54","-29,95","-2,495","0,498"
"9,699","9,095","49,08","-30,03","-2,476","0,242"
"9,732","13,14","48,23","-30,11","-2,485","-0,181"
"9,765","17,11","47,04","-30,19","-2,488","-2,97E-02"
"9,799","20,96","45,49","-30,28","-2,486","-0,219"
"9,832","24,67","43,64","-30,36","-2,499","0,109"
"9,865","28,26","41,46","-30,44","-2,487","0,286"
"9,899","31,56",39,"-30,53","-2,469","0,294"
"9,932","34,67","36,26","-30,61","-2,475","-3,53E-02"
"9,965","37,51","33,27","-30,69","-2,47","0,216"
"9,999","40,1","30,05","-30,77","-2,461","-8,42E-02"
"10,032","42,43","26,69","-30,85","-2,471","1,05E-02"
"10,065","44,43","23,05","-30,94","-2,469","0,22"
"10,099","46,13","19,33","-31,02","-2,449","8,35E-02"
"10,132","47,49","15,49","-31,1","-2,463","-0,667"
"10,165","48,55","11,5","-31,18","-2,496","-0,501"
"10,199","49,26","7,389","-31,27","-2,501","-0,221"
"10,232","49,63","3,276","-31,35","-2,503","7,17E-02"
"10,265","49,66","-0,892","-31,43","-2,504","0,202"
"10,299","49,33","-4,997","-31,52","-2,485","0,798"
"10,332","48,63","-9,029","-31,6","-2,454","0,325"
"10,365","47,67","-12,91","-31,68","-2,453","0,256"
"10,399","46,33","-16,76","-31,76","-2,451","0,265"
"10,432","44,71","-20,39","-31,84","-2,425","0,375"
"10,465","42,8","-23,87","-31,92","-2,429","-8,24E-02"
"10,499","40,63","-27,19","-32,01","-2,432","-0,407"
"10,532","38,2","-30,32","-32,09","-2,452","-0,458"
"10,565","35,46","-33,26","-32,17","-2,47","-0,562"
"10,599","32,53","-35,97","-32,25","-2,483","-0,186"
"10,632","29,36","-38,45","-32,33","-2,489","-8,39E-02"
"10,665","26,01","-40,63","-32,42","-2,482","0,176"
"10,699","22,5","-42,54","-32,5","-2,481","0,26"
"10,732","18,87","-44,13","-32,58","-2,464","0,293"
"10,765","15,17","-45,42","-32,66","-2,458","0,143"
"10,799","11,37","-46,42","-32,75","-2,458","5,81E-02"
"10,832","7,522","-47,07","-32,83","-2,452","0,385"
"10,865","3,651","-47,47","-32,91","-2,435","0,487"
"10,899","-0,184","-47,51","-32,99","-2,416",
"10,932","-3,989","-47,21","-33,07",,
